"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Major: Add multiple products from detail page and complete checkout.","603","test_add_multiple_products_from_detail_page","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Remove from cart updates badge.","218","test_remove_from_cart_updates_badge","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Critical: Invalid empty fields.","522","test_invalid_checkout_info_empty_fields","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Authentication login test.","695","test_authentication_login[invalid_user_wrong_pass]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Critical: Logout during checkout flow.","1301","test_logout_during_checkout_flow","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Sort reset after reload.","726","test_sort_reset_after_reload","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Minor: Sort persists after cart actions.","282","test_sort_persists_after_cart_actions","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Sort name descending.","98","test_sort_name_desc","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Add multiple products and complete checkout.","638","test_add_multiple_products_and_complete_checkout[checkout_data0]","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Load inventory page.","30","test_load_inventory_page","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Minor: Refresh page on Checkout Complete.","1069","test_refresh_on_checkout_complete","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Add product from detail page and complete checkout.","528","test_add_product_from_detail_page","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Sort persists after reset app state.","1024","test_sort_persists_after_reset_app_state","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","738","test_authentication_login[empty_user_empty_pass]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Critical: Inventory access requires authentication.","1220","test_inventory_access_requires_auth","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Burger menu items and actions.","5035","test_burger_menu_items_and_actions","tests.fe","2026-02-01","passed","2026-02-01","","test_burger_menu","",""
"Major: Product detail navigation.","134","test_product_detail_navigation","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Add multiple products and complete checkout.","713","test_add_multiple_products_and_complete_checkout[checkout_data1]","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Add remove from detail page.","327","test_add_remove_from_detail_page","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","762","test_authentication_login[visual]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Add multiple products from mixed sources.","635","test_add_mixed_sources","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Authentication login test.","5750","test_authentication_login[performance]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Sort name ascending.","70","test_sort_name_asc","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","1799","test_authentication_login[standard]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Cart link navigation.","306","test_cart_link_navigation","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Minor: Burger menu from cart checkout.","2100","test_burger_menu_from_cart_checkout","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Minor: Continue shopping from overview and complete checkout.","740","test_continue_shopping_from_overview_and_complete_checkout","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Price format validation.","47","test_price_format_validation","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Minor: Reset app state clears cart.","1194","test_reset_app_state_clears_cart","tests.fe","2026-02-01","passed","2026-02-01","","test_burger_menu","",""
"Edge: Checkout with numbers in names.","467","test_checkout_with_numbers_in_names","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Burger menu from cart/checkout.","2144","test_burger_menu_from_cart_checkout","tests.fe","2026-02-01","passed","2026-02-01","","test_burger_menu","",""
"Major: Sort price high to low.","76","test_sort_price_high_low","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","739","test_authentication_login[problem]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Add and remove product from detail page.","344","test_add_and_remove_product_from_detail_page","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Cart badge persists after refresh.","831","test_cart_badge_persists_after_refresh","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","722","test_authentication_login[valid_user_empty_pass]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Critical: Access checkout page directly without items.","766","test_access_checkout_directly_without_items","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Authentication login test.","730","test_authentication_login[locked_out]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Continue shopping from cart.","822","test_continue_shopping_from_cart","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Edge: Add maximum products.","877","test_add_maximum_products","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Refresh page on Checkout Overview.","1114","test_refresh_on_checkout_overview","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Sort price low to high.","104","test_sort_price_low_high","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Add single product and complete checkout.","524","test_add_single_product_and_complete_checkout","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Minor: Navigate browser back after checkout completion.","485","test_navigate_back_after_checkout_completion","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Edge: Minimum valid zip.","366","test_minimum_valid_zip","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Product card fields.","121","test_product_card_fields","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Back to products navigation.","147","test_back_to_products_navigation","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","720","test_authentication_login[invalid_user_valid_pass]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Minor: Validate empty cart.","298","test_validate_cart_empty_state","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Remove one item from multiple and verify cart updates.","738","test_remove_one_from_multiple","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Add to cart from product detail.","270","test_add_to_cart_from_product_detail","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Remove all items from cart and verify badge updates.","523","test_remove_all_items_from_cart","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Critical: Remove item before checkout.","343","test_remove_item_before_checkout","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Verify cart resets after successful checkout.","554","test_verify_cart_resets_after_checkout","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Edge: Cart badge overflow.","431","test_cart_badge_overflow","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Major: Authentication login test.","712","test_authentication_login[valid_user_wrong_pass]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Minor: Cancel from checkout info.","355","test_cancel_from_checkout_information","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Major: Add to cart updates badge.","304","test_add_to_cart_updates_badge","tests.fe","2026-02-01","passed","2026-02-01","TestProductsPage","test_products","",""
"Edge: Checkout with very long names.","530","test_checkout_with_very_long_names","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Edge: Checkout with special characters in names.","503","test_checkout_with_special_characters","tests.fe","2026-02-01","passed","2026-02-01","TestCart","test_cart_and_checkout","",""
"Critical: Direct detail access requires authentication.","2256","test_direct_detail_redirects_when_unauthenticated","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
"Major: Authentication login test.","755","test_authentication_login[error]","tests.fe","2026-02-01","passed","2026-02-01","","test_authentication","",""
